Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/17/2018,iTunes,WWW.ITUNES.COM/BILL,1,debit,Finance Charge,Blue Cash,,
12/17/2018,Pp Charge,PP* MERCHANT CHARGE,1,debit,Finance Charge,Blue Cash,,
12/29/2018,Amazon,AMAZON.COM*M27K039Q1AMZN.COM/BI9TKMGFI3CQI MERCHANDISE 320183630199779341,41.23,debit,Shopping,Blue Cash,,
12/29/2018,Netflix,NETFLIX.COM 866-579-7172 CA26139540504 SUBSCRIPTION 320183630193741390,11.92,debit,Entertainment,Blue Cash,,
12/28/2018,REI,REI #114 SANTA FE,150.73,debit,Sporting Goods,MasterCard,,
12/28/2018,Albertsons,ALBERTSONS MARKET,98.45,debit,Groceries,MasterCard,,
12/27/2018,Ohori Coffee Roast,OHORI'S COFFEE ROASTSANTA FE NM85482988361 USFC87505 320183610154324691,21.13,debit,Coffee Shops,Blue Cash,,
12/27/2018,Amazon Kindle,KINDLE SVCS*M292O32V866-321-8854T6G2SB88BM DIGITAL 320183610165561410,6.3,debit,Books,Blue Cash,,
12/27/2018,Amazon Kindle,KINDLE SVCS 866-321-8851 WA18UC72GTXO2 DIRECT MKTG INTERNET 320183610165973691,7.35,credit,Books,Blue Cash,,
12/27/2018,Amazon Kindle,KINDLE SVCS 866-321-8851 WA3A8ZWQNLMKL DIRECT MKTG INTERNET 320183610165973692,7.35,credit,Books,Blue Cash,,
12/27/2018,Amazon Kindle,KINDLE SVCS 866-321-8851 WAYB1OYH073WI DIRECT MKTG INTERNET 320183610165973684,6.3,credit,Books,Blue Cash,,
12/27/2018,Amazon Kindle,KINDLE SVCS*M240R4KW866-321-885143PSBZTFVW DIGITAL 320183610163922140,7.35,debit,Books,Blue Cash,,
12/27/2018,Amazon Kindle,KINDLE SVCS*M280E3VI866-321-8851G7PVBUZ07F DIGITAL 320183610164711112,7.35,debit,Books,Blue Cash,,
12/27/2018,Amazon,AMZN MKTP US*M233P6KS1 AMZN.COM/BILLWA29CNQ60YIQH,200.55,debit,Shopping,Discover More Card,,
12/27/2018,Amazon,AMZN MKTP US*M237O67Y0 AMZN.COM/BILLWA54KCC0U96V6,10.95,debit,Shopping,Discover More Card,,
